41,953
846,362867
728,269037
91,4464
357,65352
834,352762
559,159155
212,23360
165,14249
759,292326
89,4239
522,139084
518,137002
362,67265
535,146052
353,63995
138,10041
612,190557
33,635
67,2449
174,15869
557,158105
349,62590
964,470363
950,456803
381,74387
721,264114
941,448146
285,41974
94,4771
940,447270
126,8399
416,88581
433,95965
756,290088
390,78053
245,31183
632,203239
280,40541
580,171359
61,2047
232,27964
431,95055
826,345859
291,43703
570,165518
405,84057
524,140056
929,436866
953,459783
843,360214
391,78382
43,1036
437,97854
411,86583
220,25141
842,359353
890,401214
849,365289
269,37376
293,44284
518,137002
362,67265
535,146052
353,63995
138,10041
612,190557
33,635
67,2449
174,15869
557,158105
349,62590
964,470363
950,456803
381,74387
721,264114
941,448146
285,41974
94,4771
940,447270
126,8399
416,88581
433,95965
756,290088
390,78053
245,31183
632,203239
280,40541
580,171359
61,2047
232,27964
431,95055
826,345859
291,43703
570,165518
405,84057
524,140056
929,436866
953,459783
843,360214
