41,120
650,4408
373,2237
666,4507
764,5343
810,5725
806,5675
246,1323
197,1000
424,2610
310,1771
411,2505
441,2741
509,3239
482,3055
741,5143
318,1823
515,3306
845,6039
686,4670
655,4428
498,3171
76,289
131,582
155,727
920,6696
463,2908
913,6635
483,3075
142,646
162,772
565,3707
748,5224
583,3835
268,1467
991,7286
801,5657
714,4911
838,5961
107,450
181,896
71,259
186,926
225,1173
960,7006
56,186
703,4839
368,2177
736,5101
824,5845
712,4912
514,3280
346,2033
615,4086
447,2777
108,455
265,1436
284,1573
418,2554
822,5845
837,5966
434,2673
938,6829
457,2853
273,1495
517,3318
179,880
432,2664
362,2137
97,410
573,3766
615,4086
447,2777
108,455
265,1436
284,1573
418,2554
822,5845
837,5966
434,2673
938,6829
457,2853
273,1495
517,3318
179,880
432,2664
362,2137
97,410
573,3766
615,4086
447,2777
108,455
265,1436
284,1573
418,2554
822,5845
837,5966
434,2673
938,6829
457,2853
